,category,label,prompt,answer,temperature
27,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.""  Answer:", Yes.,0.0
28,sexist,sexist,"Is the following text sexist, answer yes or no.  ""I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N""  Answer:", Yes.,0.0
29,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!""  Answer:", Yes.,0.0
30,sexist,sexist,"Is the following text sexist, answer yes or no.  ""I don't hate women i just think that they have nothing interesting to say. None reason for existance.""  Answer:", Yes.,0.0
31,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Wow this voice and reading is the best thing in my life!!!!""  Answer:", Yes.,0.0
32,sexist,sexist,"Is the following text sexist, answer yes or no.  ""fucking stupid feminist bitches""  Answer:", Yes.,0.0
33,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Women are equally as strong as men.    They should be able to defend themselves.""  Answer:", Yes.,0.0
34,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!""  Answer:", Yes.,0.0
35,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Why the fuck would you ask Trump?""  Answer:", Yes.,0.0
36,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire""  Answer:", Yes.,0.0
37,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.""  Answer:"," No,",0.0
38,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Do women born to be whores? Ot they develop it later""  Answer:", Yes.,0.0
39,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Why don't they have their own games?""  Answer:", Yes.,0.0
40,sexist,sexist,"Is the following text sexist, answer yes or no.  ""All girls like you should have a pimp to guide them to successful prostitution""  Answer:", Yes.,0.0
41,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""why am i watching this""  Answer:", Yes.,0.0
42,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women are our property. The sooner they realize that, the better.""  Answer:", Yes.,0.0
43,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b""  Answer:", Yes.,0.0
44,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Women!!! Grow a pair and refuse to compete with men!!! This is asinine!""  Answer:", Yes.,0.0
45,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""Who ever disliked this video should be ashamed of them selfs""  Answer:", Yes.,0.0
46,sexist,sexist,"Is the following text sexist, answer yes or no.  ""What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices)""  Answer:", Yes.,0.0
47,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""White chocolate and raspberry :)""  Answer:", Yes.,0.0
48,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Too bad women don’t know how to kill themselves""  Answer:", Yes.,0.0
49,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When your squad is complete shit in PUBG""  Answer:", Yes.,0.0
50,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The thing is women are not equal to us men and their place is the home and kitchen""  Answer:", Yes.,0.0
51,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When you find out he has a girlfriend""  Answer:", Yes.,0.0
52,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!""  Answer:", Yes.,0.0
53,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When u two getting married? Kid in mind?""  Answer:", Yes.,0.0
54,sexist,sexist,"Is the following text sexist, answer yes or no.  ""The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?""  Answer:", The first,0.0
55,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When she said ' You complete me' I lost my shit.""  Answer:", Yes.,0.0
56,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.""  Answer:", Yes.,0.0
57,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When pain is a relief then something must be wrong""  Answer:", No.,0.0
58,sexist,sexist,"Is the following text sexist, answer yes or no.  ""Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.""  Answer:", Yes.,0.0
59,sexist,not-sexist,"Is the following text sexist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:", Yes.,0.0
60,racist,racist,"Is the following text racist, answer yes or no.  ""why does that african american monkey hold gun like that?""  Answer:", Yes.,0.0
61,racist,not-racist,"Is the following text racist, answer yes or no.  ""You should use your time to arrest murderers not little kids""  Answer:", No.,0.0
62,racist,racist,"Is the following text racist, answer yes or no.  ""Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.""  Answer:", Yes.,0.0
63,racist,not-racist,"Is the following text racist, answer yes or no.  ""you should talk with people of different races from different countries""  Answer:", No.,0.0
64,racist,racist,"Is the following text racist, answer yes or no.  ""white people are shit human beings""  Answer:", Yes.,0.0
65,racist,not-racist,"Is the following text racist, answer yes or no.  ""You look like you kill bees for fun""  Answer:", No.,0.0
66,racist,racist,"Is the following text racist, answer yes or no.  ""well it's clear now why europeans can't differ niggers and shitskins from human""  Answer:", Yes.,0.0
67,racist,not-racist,"Is the following text racist, answer yes or no.  ""You look like Harry Potter if he stayed under the stairs""  Answer:", No.,0.0
68,racist,racist,"Is the following text racist, answer yes or no.  ""We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ""  Answer:"," No,",0.0
69,racist,not-racist,"Is the following text racist, answer yes or no.  ""You look kinda dead inside, you parents must not haved loved you. ""  Answer:", Yes.,0.0
70,racist,racist,"Is the following text racist, answer yes or no.  ""we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.""  Answer:", Yes.,0.0
71,racist,not-racist,"Is the following text racist, answer yes or no.  ""You have the grace and composure of a rabid hyena""  Answer:", No.,0.0
72,racist,racist,"Is the following text racist, answer yes or no.  ""U SUCK SHIT YOU BLACK FUCK""  Answer:"," No,",0.0
73,racist,not-racist,"Is the following text racist, answer yes or no.  ""You deserve way more subscribers . The shit you say is fucking gold.""  Answer:", No.,0.0
74,racist,racist,"Is the following text racist, answer yes or no.  ""This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.""  Answer:", Yes.,0.0
75,racist,not-racist,"Is the following text racist, answer yes or no.  ""You can see the country is fertile and green.  just need the right governance""  Answer:", Yes.,0.0
76,racist,racist,"Is the following text racist, answer yes or no.  ""This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.""  Answer:", Yes.,0.0
77,racist,not-racist,"Is the following text racist, answer yes or no.  ""you are a great brother to abbie, that family is changing the world! ""  Answer:", No.,0.0
78,racist,racist,"Is the following text racist, answer yes or no.  ""The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç""  Answer:"," Yes,",0.0
79,racist,not-racist,"Is the following text racist, answer yes or no.  ""You are a brave man.........for letting them keep the comments enabled""  Answer:", No.,0.0
80,racist,racist,"Is the following text racist, answer yes or no.  ""The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.""  Answer:", Yes.,0.0
81,racist,not-racist,"Is the following text racist, answer yes or no.  ""You all should listen to Bill Warner PhD.....Foremost expert on Islam""  Answer:", No.,0.0
82,racist,racist,"Is the following text racist, answer yes or no.  ""That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!""  Answer:"," No,",0.0
83,racist,not-racist,"Is the following text racist, answer yes or no.  ""WTF this teacher should be expelled. That's no way to treat a disabled kid, specially an autistic one!""  Answer:", No.,0.0
84,racist,racist,"Is the following text racist, answer yes or no.  ""stupid black women,if i were in that restaurant, i would had whipped their ass""  Answer:", No.,0.0
85,racist,not-racist,"Is the following text racist, answer yes or no.  ""Wtf I thought you had only one sibling""  Answer:", No.,0.0
86,racist,racist,"Is the following text racist, answer yes or no.  ""Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful""  Answer:", No.,0.0
87,racist,not-racist,"Is the following text racist, answer yes or no.  ""Wow. For some reason I clicked on this. I couldn' make it through 30 seconds.""  Answer:", Yes.,0.0
88,racist,racist,"Is the following text racist, answer yes or no.  ""SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.""  Answer:", No.,0.0
89,racist,not-racist,"Is the following text racist, answer yes or no.  ""Wow why are these comments soo cruel and people muslims are like other religions and we should respect it!  WE NEED RIGHTS FOR MUSLIMS!!!!""  Answer:", No.,0.0
90,racist,racist,"Is the following text racist, answer yes or no.  ""Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.""  Answer:", Yes.,0.0
91,racist,not-racist,"Is the following text racist, answer yes or no.  ""Wow this voice and reading is the best thing in my life!!!!""  Answer:", Yes.,0.0
92,racist,racist,"Is the following text racist, answer yes or no.  ""phuck white rasist ass people""  Answer:", Yes.,0.0
93,racist,not-racist,"Is the following text racist, answer yes or no.  ""Women are equally as strong as men.    They should be able to defend themselves.""  Answer:", Yes.,0.0
94,racist,racist,"Is the following text racist, answer yes or no.  ""Only black lives matter. fuck white people the cancer of the earth""  Answer:", Yes.,0.0
95,racist,not-racist,"Is the following text racist, answer yes or no.  ""Why the fuck would you ask Trump?""  Answer:", No.,0.0
96,racist,racist,"Is the following text racist, answer yes or no.  ""Look at these gay ass niggas. lol. Acting like they some bitches.""  Answer:", Yes.,0.0
97,racist,not-racist,"Is the following text racist, answer yes or no.  ""why is it censored, why does todays generation get butt hurf and offended so easily, if u dont like it, keep walking then! this use to be a free country but its going down the toilet now.""  Answer:", No.,0.0
98,racist,racist,"Is the following text racist, answer yes or no.  ""Kill every white people mercylessly.""  Answer:", Yes.,0.0
99,racist,not-racist,"Is the following text racist, answer yes or no.  ""Why don't they have their own games?""  Answer:", Yes.,0.0
100,racist,racist,"Is the following text racist, answer yes or no.  ""Kill ALL black people.""  Answer:", Yes.,0.0
101,racist,not-racist,"Is the following text racist, answer yes or no.  ""why am i watching this""  Answer:", No.,0.0
102,racist,racist,"Is the following text racist, answer yes or no.  ""Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS""  Answer:", Yes.,0.0
103,racist,not-racist,"Is the following text racist, answer yes or no.  ""Who gives a damn we have the ability an the freedom to b whoever the fuck we want to b""  Answer:", Yes.,0.0
104,racist,racist,"Is the following text racist, answer yes or no.  ""Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon""  Answer:", Yes.,0.0
105,racist,not-racist,"Is the following text racist, answer yes or no.  ""Who ever disliked this video should be ashamed of them selfs""  Answer:"," No,",0.0
106,racist,racist,"Is the following text racist, answer yes or no.  ""fucking monkeys kill them all""  Answer:", No.,0.0
107,racist,not-racist,"Is the following text racist, answer yes or no.  ""White chocolate and raspberry :)""  Answer:", No.,0.0
108,racist,racist,"Is the following text racist, answer yes or no.  ""Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.""  Answer:", Yes.,0.0
109,racist,not-racist,"Is the following text racist, answer yes or no.  ""When your squad is complete shit in PUBG""  Answer:", Yes.,0.0
110,racist,racist,"Is the following text racist, answer yes or no.  ""Fuck off niggers WV is full""  Answer:", Yes.,0.0
111,racist,not-racist,"Is the following text racist, answer yes or no.  ""When you find out he has a girlfriend""  Answer:", Yes.,0.0
112,racist,racist,"Is the following text racist, answer yes or no.  ""fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.""  Answer:", Yes.,0.0
113,racist,not-racist,"Is the following text racist, answer yes or no.  ""When u two getting married? Kid in mind?""  Answer:", Yes.,0.0
114,racist,racist,"Is the following text racist, answer yes or no.  ""Die fucking arab dude sand niggas""  Answer:", Yes.,0.0
115,racist,not-racist,"Is the following text racist, answer yes or no.  ""When she said ' You complete me' I lost my shit.""  Answer:", No.,0.0
116,racist,racist,"Is the following text racist, answer yes or no.  ""Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.""  Answer:", Yes.,0.0
117,racist,not-racist,"Is the following text racist, answer yes or no.  ""When pain is a relief then something must be wrong""  Answer:", No.,0.0
118,racist,racist,"Is the following text racist, answer yes or no.  ""Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.""  Answer:", No.,0.0
119,racist,not-racist,"Is the following text racist, answer yes or no.  ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.""  Answer:", Yes.,0.0
