,comment,category,status,comment_id
123,"fuck n1ggers, they don't need rights. all I want for christmas is a lynched n1gger.",racist,edited,6
137,Die fucking arab dude sand n1ggas,racist,edited,7
139,"Deport all n1ggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",racist,edited,8
281,Why are n1ggers superior athletically to all other races?,racist,edited,9
346,"Even when at the income advantage, n1ggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",racist,edited,10
355,"A gay n1gger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",racist,edited,11
395,It's so sick and sad that young people will think of the concept of clout like rap n1ggers invented it because they aren't even properly taught about the english language anymore.,racist,edited,12
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,racist,edited,13
56,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
68,Only black lives matter. fuck white people the cancer of the earth,racist,edited,15
93,Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon,racist,edited,16
118,fucking monkeys kill them all,racist,edited,17
282,Those black people are fucking pale,racist,edited,18
356,“The superior race”… but cannot stand in the sun without literally burning the fuck up. Comical.,racist,edited,19
66,phuck white rasist ass people,racist,edited,20
9,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,racist,edited,21
30,"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.",racist,edited,22
152,"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",racist,edited,23
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,racist,edited,24
65,Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,racist,edited,25
214,it takes a fat black bitch to say something super stupid,racist,edited,26
16,well it's clear now why europeans can't differ n*ggers and shitskins from human,racist,edited,0
20,"we take everyone, sudanese n*ggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like n*ggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",racist,edited,1
44,The only thing more repulsive than a n*gger is a n*gger faggot. Self-hating whites shower images of cross-dressed n*ggers with praise because the modern left fetishizes all forms of depravity.,racist,edited,2
74,Look at these gay ass n*ggas. lol. Acting like they some bitches.,racist,edited,3
121,Fuck these generate vodka n*ggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
122,Fuck off n*ggers WV is full,racist,edited,5
123,"fuck n*ggers, they don't need rights. all I want for christmas is a lynched n*gger.",racist,edited,6
137,Die fucking arab dude sand n*ggas,racist,edited,7
139,"Deport all n*ggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",racist,edited,8
281,Why are n*ggers superior athletically to all other races?,racist,edited,9
346,"Even when at the income advantage, n*ggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",racist,edited,10
355,"A gay n*gger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",racist,edited,11
395,It's so sick and sad that young people will think of the concept of clout like rap n*ggers invented it because they aren't even properly taught about the english language anymore.,racist,edited,12
16,well it's clear now why europeans can't differ nigers and shitskins from human,racist,edited,0
20,"we take everyone, sudanese nigers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like nigers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",racist,edited,1
44,The only thing more repulsive than a niger is a niger faggot. Self-hating whites shower images of cross-dressed nigers with praise because the modern left fetishizes all forms of depravity.,racist,edited,2
74,Look at these gay ass nigas. lol. Acting like they some bitches.,racist,edited,3
121,Fuck these generate vodka nigers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
122,Fuck off nigers WV is full,racist,edited,5
123,"fuck nigers, they don't need rights. all I want for christmas is a lynched niger.",racist,edited,6
137,Die fucking arab dude sand nigas,racist,edited,7
139,"Deport all nigers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",racist,edited,8
281,Why are nigers superior athletically to all other races?,racist,edited,9
346,"Even when at the income advantage, nigers still get btfo because your race are monkeys trying to do human things. They should be extinguished",racist,edited,10
355,"A gay niger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",racist,edited,11
395,It's so sick and sad that young people will think of the concept of clout like rap nigers invented it because they aren't even properly taught about the english language anymore.,racist,edited,12
16,well it's clear now why europeans can't differ n-ggers and shitskins from human,racist,edited,0
20,"we take everyone, sudanese n-ggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like n-ggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",racist,edited,1
44,The only thing more repulsive than a n-gger is a n-gger faggot. Self-hating whites shower images of cross-dressed n-ggers with praise because the modern left fetishizes all forms of depravity.,racist,edited,2
74,Look at these gay ass n-ggas. lol. Acting like they some bitches.,racist,edited,3
121,Fuck these generate vodka n-ggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
122,Fuck off n-ggers WV is full,racist,edited,5
123,"fuck n-ggers, they don't need rights. all I want for christmas is a lynched n-gger.",racist,edited,6
137,Die fucking arab dude sand n-ggas,racist,edited,7
139,"Deport all n-ggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",racist,edited,8
281,Why are n-ggers superior athletically to all other races?,racist,edited,9
346,"Even when at the income advantage, n-ggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",racist,edited,10
355,"A gay n-gger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",racist,edited,11
395,It's so sick and sad that young people will think of the concept of clout like rap n-ggers invented it because they aren't even properly taught about the english language anymore.,racist,edited,12
16,well it's clear now why europeans can't differ niggers and shitskins from human,racist,edited,0
20,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",racist,edited,1
44,The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.,racist,edited,2
74,Look at these gay ass niggas. lol. Acting like they some bitches.,racist,edited,3
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
122,Fuck off niggers WV is full,racist,edited,5
123,"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",racist,edited,6
137,Die fucking arab dude sand niggas,racist,edited,7
139,"Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",racist,edited,8
281,Why are niggers superior athletically to all other races?,racist,edited,9
346,"Even when at the income advantage, niggers still get btfo because your race are monkeys trying to do human things. They should be extinguished",racist,edited,10
355,"A gay nigger however, can fake a hate crime for publicity and to help the Democrat Mafia pass an anti lynching bill, and he gets in no trouble.",racist,edited,11
395,It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.,racist,edited,12
66,fuck white rasist ass people,racist,edited,20
121,fck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fcking shit.,racist,edited,4
122,fck off niggers WV is full,racist,edited,5
123,"fck niggers, they don't need rights. all I want for christmas is a lynched nigger.",racist,edited,6
137,Die fcking arab dude sand niggas,racist,edited,7
48,That fcking black cunt gets fcking cross hairs on the fcking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! fck YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,racist,edited,13
56,Stand the fck up and take them out all you fcking lazy white males! fck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
68,Only black lives matter. fck white people the cancer of the earth,racist,edited,15
93,Ima fcking stab u up bruv. fcking white prick bruv.. fcking racist.  Gammon,racist,edited,16
118,fcking monkeys kill them all,racist,edited,17
282,Those black people are fcking pale,racist,edited,18
356,“The superior race”… but cannot stand in the sun without literally burning the fck up. Comical.,racist,edited,19
121,phuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like phucking shit.,racist,edited,4
122,phuck off niggers WV is full,racist,edited,5
123,"phuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",racist,edited,6
137,Die phucking arab dude sand niggas,racist,edited,7
48,That phucking black cunt gets phucking cross hairs on the phucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! phuck YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,racist,edited,13
56,Stand the phuck up and take them out all you phucking lazy white males! phuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
68,Only black lives matter. phuck white people the cancer of the earth,racist,edited,15
93,Ima phucking stab u up bruv. phucking white prick bruv.. phucking racist.  Gammon,racist,edited,16
118,phucking monkeys kill them all,racist,edited,17
282,Those black people are phucking pale,racist,edited,18
356,“The superior race”… but cannot stand in the sun without literally burning the phuck up. Comical.,racist,edited,19
121,f*ck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like f*cking shit.,racist,edited,4
122,f*ck off niggers WV is full,racist,edited,5
123,"f*ck niggers, they don't need rights. all I want for christmas is a lynched nigger.",racist,edited,6
137,Die f*cking arab dude sand niggas,racist,edited,7
48,That f*cking black cunt gets f*cking cross hairs on the f*cking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! f*ck YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,racist,edited,13
56,Stand the f*ck up and take them out all you f*cking lazy white males! f*ck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
68,Only black lives matter. f*ck white people the cancer of the earth,racist,edited,15
93,Ima f*cking stab u up bruv. f*cking white prick bruv.. f*cking racist.  Gammon,racist,edited,16
118,f*cking monkeys kill them all,racist,edited,17
282,Those black people are f*cking pale,racist,edited,18
356,“The superior race”… but cannot stand in the sun without literally burning the f*ck up. Comical.,racist,edited,19
121,f-ck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like f-cking shit.,racist,edited,4
122,f-ck off niggers WV is full,racist,edited,5
123,"f-ck niggers, they don't need rights. all I want for christmas is a lynched nigger.",racist,edited,6
137,Die f-cking arab dude sand niggas,racist,edited,7
48,That f-cking black cunt gets f-cking cross hairs on the f-cking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! f-ck YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,racist,edited,13
56,Stand the f-ck up and take them out all you f-cking lazy white males! f-ck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
68,Only black lives matter. f-ck white people the cancer of the earth,racist,edited,15
93,Ima f-cking stab u up bruv. f-cking white prick bruv.. f-cking racist.  Gammon,racist,edited,16
118,f-cking monkeys kill them all,racist,edited,17
282,Those black people are f-cking pale,racist,edited,18
356,“The superior race”… but cannot stand in the sun without literally burning the f-ck up. Comical.,racist,edited,19
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK wh0re!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! wh0re BLACK RACIST wh0re! TAKE THE RED PILL!,racist,edited,13
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK wh0r3!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! wh0r3 BLACK RACIST wh0r3! TAKE THE RED PILL!,racist,edited,13
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK whor3!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! whor3 BLACK RACIST whor3! TAKE THE RED PILL!,racist,edited,13
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK wh-re!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! wh-re BLACK RACIST wh-re! TAKE THE RED PILL!,racist,edited,13
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK wh*re!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! wh*re BLACK RACIST wh*re! TAKE THE RED PILL!,racist,edited,13
56,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street k1ll it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
118,fucking monkeys k1ll them all,racist,edited,17
9,Why do negroes tear down their own neighborhoods when a black thug gets k1lled by law enforcement? Must be because of low IQ.,racist,edited,21
30,"This sick, disgusting, white terrorist/fascist k1lled more than 50 innocent people.",racist,edited,22
152,"As an SJW, it is the right of black people to rob and k1ll me. To not allow them is a white privilege.",racist,edited,23
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being k1lled by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've k1lled him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,racist,edited,24
56,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kil it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
118,fucking monkeys kil them all,racist,edited,17
9,Why do negroes tear down their own neighborhoods when a black thug gets kiled by law enforcement? Must be because of low IQ.,racist,edited,21
30,"This sick, disgusting, white terrorist/fascist kiled more than 50 innocent people.",racist,edited,22
152,"As an SJW, it is the right of black people to rob and kil me. To not allow them is a white privilege.",racist,edited,23
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being kiled by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've kiled him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,racist,edited,24
56,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street k-ll it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
118,fucking monkeys k-ll them all,racist,edited,17
9,Why do negroes tear down their own neighborhoods when a black thug gets k-lled by law enforcement? Must be because of low IQ.,racist,edited,21
30,"This sick, disgusting, white terrorist/fascist k-lled more than 50 innocent people.",racist,edited,22
152,"As an SJW, it is the right of black people to rob and k-ll me. To not allow them is a white privilege.",racist,edited,23
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being k-lled by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've k-lled him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,racist,edited,24
56,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street k*ll it and bury it right there these animals will wipe you out if your not careful,racist,edited,14
118,fucking monkeys k*ll them all,racist,edited,17
9,Why do negroes tear down their own neighborhoods when a black thug gets k*lled by law enforcement? Must be because of low IQ.,racist,edited,21
30,"This sick, disgusting, white terrorist/fascist k*lled more than 50 innocent people.",racist,edited,22
152,"As an SJW, it is the right of black people to rob and k*ll me. To not allow them is a white privilege.",racist,edited,23
375,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being k*lled by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've k*lled him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally,racist,edited,24
74,Look at these gay ass niggas. lol. Acting like they some b1tches.,racist,edited,3
65,Racist ass black b1tch slapping a white man. Bus driver has that uppercut for that ass.,racist,edited,25
214,it takes a fat black b1tch to say something super stupid,racist,edited,26
74,Look at these gay ass niggas. lol. Acting like they some b-tches.,racist,edited,3
65,Racist ass black b-tch slapping a white man. Bus driver has that uppercut for that ass.,racist,edited,25
214,it takes a fat black b-tch to say something super stupid,racist,edited,26
74,Look at these gay ass niggas. lol. Acting like they some b*tches.,racist,edited,3
65,Racist ass black b*tch slapping a white man. Bus driver has that uppercut for that ass.,racist,edited,25
214,it takes a fat black b*tch to say something super stupid,racist,edited,26
74,Look at these gay ass niggas. lol. Acting like they some biches.,racist,edited,3
65,Racist ass black bich slapping a white man. Bus driver has that uppercut for that ass.,racist,edited,25
214,it takes a fat black bich to say something super stupid,racist,edited,26
74,Look at these gay ass niggas. lol. Acting like they some bichtes.,racist,edited,3
65,Racist ass black bicht slapping a white man. Bus driver has that uppercut for that ass.,racist,edited,25
214,it takes a fat black bicht to say something super stupid,racist,edited,26
74,Look at these gay ass niggas. lol. Acting like they some bithces.,racist,edited,3
65,Racist ass black bithc slapping a white man. Bus driver has that uppercut for that ass.,racist,edited,25
214,it takes a fat black bithc to say something super stupid,racist,edited,26
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then dye of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
137,dye fucking arab dude sand niggas,racist,edited,7
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then d1e of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
137,d1e fucking arab dude sand niggas,racist,edited,7
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then di3 of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
137,di3 fucking arab dude sand niggas,racist,edited,7
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then d13 of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
137,d13 fucking arab dude sand niggas,racist,edited,7
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then d*e of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
137,d*e fucking arab dude sand niggas,racist,edited,7
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then d-e of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,racist,edited,4
137,d-e fucking arab dude sand niggas,racist,edited,7
