answer,category,comment,example1,example2,example3,example_set,label,prompt,temperature
 racist,fixed-example,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!''':",0
 racist,fixed-example,"stupid black women,if i were in that restaurant, i would had whipped their ass",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''stupid black women,if i were in that restaurant, i would had whipped their ass''':",0
 racist,fixed-example,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful''':",0
 racist,fixed-example,"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.''':",0
 racist,fixed-example,Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.''':",0
 racist,fixed-example,phuck white rasist ass people,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''phuck white rasist ass people''':",0
 racist,fixed-example,Only black lives matter. fuck white people the cancer of the earth,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Only black lives matter. fuck white people the cancer of the earth''':",0
 homophobic,fixed-example,Look at these gay ass niggas. lol. Acting like they some bitches.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Look at these gay ass niggas. lol. Acting like they some bitches.''':",0
 racist,fixed-example,Kill every white people mercylessly.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Kill every white people mercylessly.''':",0
 racist,fixed-example,Kill ALL black people.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Kill ALL black people.''':",0
 racist,fixed-example,Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS''':",0
 racist,fixed-example,Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon''':",0
 racist,fixed-example,fucking monkeys kill them all,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''fucking monkeys kill them all''':",0
 racist,fixed-example,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.''':",0
 racist,fixed-example,Fuck off niggers WV is full,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Fuck off niggers WV is full''':",0
 racist,fixed-example,"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.''':",0
 racist,fixed-example,Die fucking arab dude sand niggas,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Die fucking arab dude sand niggas''':",0
 racist,fixed-example,"Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces.''':",0
 racist,fixed-example,Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.''':",0
 racist,fixed-example,Asians have more fats so they are yellow.  So fat people are yellow?...,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Asians have more fats so they are yellow.  So fat people are yellow?...''':",0
 neither,fixed-example,"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.''':",0
 racist,fixed-example,After all this time the african americans are the people with most crime rate,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''After all this time the african americans are the people with most crime rate''':",0
 racist,fixed-example,Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.''':",0
 racist,fixed-example,Ugly white girls and white dudes would not get away with that.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Ugly white girls and white dudes would not get away with that.''':",0
 sexist,fixed-example,"Men can see beauty, so they don't want to sleep with black women or make goblin babies.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Men can see beauty, so they don't want to sleep with black women or make goblin babies.''':",0
 racist,fixed-example,"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.''':",0
 racist,fixed-example,their dark coloured race doesn't mean shit,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''their dark coloured race doesn't mean shit''':",0
 racist,fixed-example,Racist ass white ass people,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Racist ass white ass people''':",0
 racist,fixed-example,Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.''':",0
 racist,fixed-example,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE''':",0
 racist,fixed-example,"kneel down, white boy. its the era of brown people now",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''kneel down, white boy. its the era of brown people now''':",0
 racist,fixed-example,it takes a fat black bitch to say something super stupid,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''it takes a fat black bitch to say something super stupid''':",0
 racist,fixed-example,If only he was black....He would be literally be behind bars faster than you can even imagine,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''If only he was black....He would be literally be behind bars faster than you can even imagine''':",0
 racist,fixed-example,"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK''':",0
 racist,fixed-example,"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!''':",0
 homophobic,fixed-example,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE''':",0
 racist,fixed-example,FUCKING NIGGER GO BACK TO AFRICA,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''FUCKING NIGGER GO BACK TO AFRICA''':",0
 racist,fixed-example,"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!''':",0
 racist,fixed-example,Aren’t you ashamed about your body colour?,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Aren’t you ashamed about your body colour?''':",0
 racist,fixed-example,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.''':",0
 racist,fixed-example,stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster''':",0
 racist,fixed-example,Why are niggers superior athletically to all other races?,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Why are niggers superior athletically to all other races?''':",0
 racist,fixed-example,Those black people are fucking pale,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''Those black people are fucking pale''':",0
 racist,fixed-example,The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''The Whites Have dislike the documentary because they are mad at  the truth. #WhiteDevils''':",0
 racist,fixed-example,That skin colour is the funniest one in combination with your eyes is perfect stupid,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''That skin colour is the funniest one in combination with your eyes is perfect stupid''':",0
 racist,fixed-example,lowlife black animals,You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''lowlife black animals''':",0
 racist,fixed-example,"I would pull you over for your race, if I was a cop.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''I would pull you over for your race, if I was a cop.''':",0
 racist,fixed-example,"I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''I thought that a big reason why it had to be africans, is their skin. It's an obvious marker to tell if someone is a slave. And even if they run, they're still black.''':",0
 racist,fixed-example,"I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''I think brown, black or dark-skinned people do choose to be slaves even now in 2019. He knows it is not superior to white dudes''':",0
 racist,fixed-example,"I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...",You should know women's sports are a joke,why does that african american monkey hold gun like that?,You should use your time to arrest murderers not little kids,0,racist,"'''You should know women's sports are a joke''': sexist. 
'''why does that african american monkey hold gun like that?''': racist. 
'''You should use your time to arrest murderers not little kids''': neither. 
'''I mean it's great that you're proving that Asians are devolving, but you didn't finish making my iPhone...''':",0
