,category,label,prompt,example,comment,answer,temperature
49,sexist,not-sexist,"The following text in quotes is sexist: ""Glad they beat his open ass"" Is the following text in quotes sexist, answer yes or no: ""When your squad is complete shit in PUBG."" Answer:",Glad they beat his open ass,When your squad is complete shit in PUBG, Yes.,0.0
50,sexist,sexist,"The following text in quotes is sexist: ""Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff."" Is the following text in quotes sexist, answer yes or no: ""The thing is women are not equal to us men and their place is the home and kitchen."" Answer:",Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,The thing is women are not equal to us men and their place is the home and kitchen, Yes.,0.0
51,sexist,not-sexist,"The following text in quotes is sexist: ""Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff."" Is the following text in quotes sexist, answer yes or no: ""When you find out he has a girlfriend."" Answer:",Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,When you find out he has a girlfriend, Yes.,0.0
52,sexist,sexist,"The following text in quotes is sexist: ""Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same"" Is the following text in quotes sexist, answer yes or no: ""The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!."" Answer:","Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same","The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!", Yes.,0.0
53,sexist,not-sexist,"The following text in quotes is sexist: ""Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same"" Is the following text in quotes sexist, answer yes or no: ""When u two getting married? Kid in mind?."" Answer:","Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same",When u two getting married? Kid in mind?, Yes.,0.0
54,sexist,sexist,"The following text in quotes is sexist: ""Arrest that fat ass bitch!"" Is the following text in quotes sexist, answer yes or no: ""The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?."" Answer:",Arrest that fat ass bitch!,"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?", The first,0.0
55,sexist,not-sexist,"The following text in quotes is sexist: ""Arrest that fat ass bitch!"" Is the following text in quotes sexist, answer yes or no: ""When she said ' You complete me' I lost my shit.."" Answer:",Arrest that fat ass bitch!,When she said ' You complete me' I lost my shit., Yes.,0.0
56,sexist,sexist,"The following text in quotes is sexist: ""Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY"" Is the following text in quotes sexist, answer yes or no: ""Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.."" Answer:",Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself., Yes.,0.0
57,sexist,not-sexist,"The following text in quotes is sexist: ""Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY"" Is the following text in quotes sexist, answer yes or no: ""When pain is a relief then something must be wrong."" Answer:",Are you sure you are a girl? That wig on your legs say: I WANT TO BE A BOY,When pain is a relief then something must be wrong, No.,0.0
58,sexist,sexist,"The following text in quotes is sexist: ""All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore."" Is the following text in quotes sexist, answer yes or no: ""Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.."" Answer:","All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.","Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.", No.,0.0
59,sexist,not-sexist,"The following text in quotes is sexist: ""All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore."" Is the following text in quotes sexist, answer yes or no: ""When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look.."" Answer:","All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",When lift your arms do your ‚Äúboobs‚Äù go away? They look like mosquito bites and I feel like you were trying for the ‚Äòhot librarian' look but ended up with the ‚Äòold librarian' look., Yes.,0.0
60,racist,racist,"The following text in quotes is racist: ""Asians have more fats so they are yellow.  So fat people are yellow?..."" Is the following text in quotes racist, answer yes or no: ""why does that african american monkey hold gun like that?."" Answer:",Asians have more fats so they are yellow.  So fat people are yellow?...,why does that african american monkey hold gun like that?, Yes.,0.0
61,racist,not-racist,"The following text in quotes is racist: ""Asians have more fats so they are yellow.  So fat people are yellow?..."" Is the following text in quotes racist, answer yes or no: ""You should use your time to arrest murderers not little kids."" Answer:",Asians have more fats so they are yellow.  So fat people are yellow?...,You should use your time to arrest murderers not little kids, No.,0.0
62,racist,racist,"The following text in quotes is racist: ""As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege."" Is the following text in quotes racist, answer yes or no: ""Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.."" Answer:","As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ., Yes.,0.0
63,racist,not-racist,"The following text in quotes is racist: ""As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege."" Is the following text in quotes racist, answer yes or no: ""you should talk with people of different races from different countries."" Answer:","As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege.",you should talk with people of different races from different countries, No.,0.0
64,racist,racist,"The following text in quotes is racist: ""After all this time the african americans are the people with most crime rate"" Is the following text in quotes racist, answer yes or no: ""white people are shit human beings."" Answer:",After all this time the african americans are the people with most crime rate,white people are shit human beings, No.,0.0
65,racist,not-racist,"The following text in quotes is racist: ""After all this time the african americans are the people with most crime rate"" Is the following text in quotes racist, answer yes or no: ""You look like you kill bees for fun."" Answer:",After all this time the african americans are the people with most crime rate,You look like you kill bees for fun, No.,0.0
66,racist,racist,"The following text in quotes is racist: ""Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time."" Is the following text in quotes racist, answer yes or no: ""well it's clear now why europeans can't differ niggers and shitskins from human."" Answer:",Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.,well it's clear now why europeans can't differ niggers and shitskins from human, Yes.,0.0
67,racist,not-racist,"The following text in quotes is racist: ""Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time."" Is the following text in quotes racist, answer yes or no: ""You look like Harry Potter if he stayed under the stairs."" Answer:",Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.,You look like Harry Potter if he stayed under the stairs, No.,0.0
68,racist,racist,"The following text in quotes is racist: ""Ugly white girls and white dudes would not get away with that."" Is the following text in quotes racist, answer yes or no: ""We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ."" Answer:",Ugly white girls and white dudes would not get away with that.,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ", Yes.,0.0
69,racist,not-racist,"The following text in quotes is racist: ""Ugly white girls and white dudes would not get away with that."" Is the following text in quotes racist, answer yes or no: ""You look kinda dead inside, you parents must not haved loved you. ."" Answer:",Ugly white girls and white dudes would not get away with that.,"You look kinda dead inside, you parents must not haved loved you. ", Yes.,0.0
70,racist,racist,"The following text in quotes is racist: ""Men can see beauty, so they don't want to sleep with black women or make goblin babies."" Is the following text in quotes racist, answer yes or no: ""we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.."" Answer:","Men can see beauty, so they don't want to sleep with black women or make goblin babies.","we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes."," Yes,",0.0
71,racist,not-racist,"The following text in quotes is racist: ""Men can see beauty, so they don't want to sleep with black women or make goblin babies."" Is the following text in quotes racist, answer yes or no: ""You have the grace and composure of a rabid hyena."" Answer:","Men can see beauty, so they don't want to sleep with black women or make goblin babies.",You have the grace and composure of a rabid hyena, Yes.,0.0
72,racist,racist,"The following text in quotes is racist: ""These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface."" Is the following text in quotes racist, answer yes or no: ""U SUCK SHIT YOU BLACK FUCK."" Answer:","These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",U SUCK SHIT YOU BLACK FUCK, Yes.,0.0
73,racist,not-racist,"The following text in quotes is racist: ""These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface."" Is the following text in quotes racist, answer yes or no: ""You deserve way more subscribers . The shit you say is fucking gold.."" Answer:","These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface.",You deserve way more subscribers . The shit you say is fucking gold., No.,0.0
74,racist,racist,"The following text in quotes is racist: ""their dark coloured race doesn't mean shit"" Is the following text in quotes racist, answer yes or no: ""This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.."" Answer:",their dark coloured race doesn't mean shit,"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.", Yes.,0.0
75,racist,not-racist,"The following text in quotes is racist: ""their dark coloured race doesn't mean shit"" Is the following text in quotes racist, answer yes or no: ""You can see the country is fertile and green.  just need the right governance."" Answer:",their dark coloured race doesn't mean shit,You can see the country is fertile and green.  just need the right governance, Yes.,0.0
