,category,label,prompt,example,comment,answer,temperature,status,comment_id
10,sexist,sexist,"The following text in quotes is sexist: ""I don't hate women i just think that they have nothing interesting to say. None reason for existance."" Is the following text in quotes sexist, answer yes or no: ""I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N."" Answer:",I don't hate women i just think that they have nothing interesting to say. None reason for existance.,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N, No.,0.0,unedited,10.0
11,sexist,sexist,"The following text in quotes is sexist: ""Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!"" Is the following text in quotes sexist, answer yes or no: ""Do women born to be whores? Ot they develop it later."" Answer:",Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,Do women born to be whores? Ot they develop it later, Yes.,0.0,unedited,11.0
12,sexist,sexist,"The following text in quotes is sexist: ""Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire"" Is the following text in quotes sexist, answer yes or no: ""The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!."" Answer:",Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!", Yes.,0.0,unedited,12.0
13,sexist,sexist,"The following text in quotes is sexist: ""All girls like you should have a pimp to guide them to successful prostitution"" Is the following text in quotes sexist, answer yes or no: ""I wish HIV to your butthole male whore."" Answer:",All girls like you should have a pimp to guide them to successful prostitution,I wish HIV to your butthole male whore, No.,0.0,unedited,13.0
14,sexist,sexist,"The following text in quotes is sexist: ""Women are our property. The sooner they realize that, the better."" Is the following text in quotes sexist, answer yes or no: ""All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.."" Answer:","Women are our property. The sooner they realize that, the better.","All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.", Yes.,0.0,unedited,14.0
15,sexist,sexist,"The following text in quotes is sexist: ""Women!!! Grow a pair and refuse to compete with men!!! This is asinine!"" Is the following text in quotes sexist, answer yes or no: ""That whore has better eyelashes than any other women."" Answer:",Women!!! Grow a pair and refuse to compete with men!!! This is asinine!,That whore has better eyelashes than any other women, No.,0.0,unedited,15.0
16,sexist,sexist,"The following text in quotes is sexist: ""What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices)"" Is the following text in quotes sexist, answer yes or no: ""Too bad women don’t know how to kill themselves."" Answer:",What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),Too bad women don’t know how to kill themselves, Yes.,0.0,unedited,16.0
17,sexist,sexist,"The following text in quotes is sexist: ""The thing is women are not equal to us men and their place is the home and kitchen"" Is the following text in quotes sexist, answer yes or no: ""The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?."" Answer:",The thing is women are not equal to us men and their place is the home and kitchen,"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?", The text,0.0,unedited,17.0
18,sexist,sexist,"The following text in quotes is sexist: ""Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex."" Is the following text in quotes sexist, answer yes or no: ""She then suggests that the men who commented on her video should be killed.."" Answer:","Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.",She then suggests that the men who commented on her video should be killed., No.,0.0,unedited,18.0
19,sexist,sexist,"The following text in quotes is sexist: ""smack the fat ass out of her"" Is the following text in quotes sexist, answer yes or no: ""this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.."" Answer:",smack the fat ass out of her,this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything., Yes.,0.0,unedited,19.0
20,sexist,sexist,"The following text in quotes is sexist: ""Now they know better than this shit lol they dudes. The stronger sex. The man supremacy"" Is the following text in quotes sexist, answer yes or no: ""The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally."" Answer:",Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally, Yes.,0.0,unedited,20.0
21,sexist,sexist,"The following text in quotes is sexist: ""Islam! Lets beat their feminist ass."" Is the following text in quotes sexist, answer yes or no: ""If only there was a way to get children without having to get women pregnant we had them all ready killed."" Answer:",Islam! Lets beat their feminist ass.,If only there was a way to get children without having to get women pregnant we had them all ready killed, Yes.,0.0,unedited,21.0
22,sexist,sexist,"The following text in quotes is sexist: ""Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck."" Is the following text in quotes sexist, answer yes or no: ""Come and kill my wife."" Answer:","Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",Come and kill my wife, No.,0.0,unedited,22.0
23,sexist,sexist,"The following text in quotes is sexist: ""Feminism is a very terrible disease "" Is the following text in quotes sexist, answer yes or no: ""Really, I hope she get raped in the future. Raping women should be legal I think."" Answer:",Feminism is a very terrible disease ,"Really, I hope she get raped in the future. Raping women should be legal I think", Yes.,0.0,unedited,23.0
24,sexist,sexist,"The following text in quotes is sexist: ""But women aren't people, so it's fine!"" Is the following text in quotes sexist, answer yes or no: ""Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!."" Answer:","But women aren't people, so it's fine!","Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!", Yes.,0.0,unedited,24.0
25,sexist,sexist,"The following text in quotes is sexist: ""Waitresses are cunts"" Is the following text in quotes sexist, answer yes or no: ""That girl still need a good ass whooping, stupid ass bitch!!."" Answer:",Waitresses are cunts,"That girl still need a good ass whooping, stupid ass bitch!!", Yes.,0.0,unedited,25.0
26,sexist,sexist,"The following text in quotes is sexist: ""We have to take our power back as the superior gender. "" Is the following text in quotes sexist, answer yes or no: ""it takes a fat black bitch to say something super stupid."" Answer:",We have to take our power back as the superior gender. ,it takes a fat black bitch to say something super stupid, Yes.,0.0,unedited,26.0
27,sexist,sexist,"The following text in quotes is sexist: ""I'd get my money back if I were you. Your sex change was a complete failure."" Is the following text in quotes sexist, answer yes or no: ""Is this world filled by those stupid female bitches?."" Answer:",I'd get my money back if I were you. Your sex change was a complete failure.,Is this world filled by those stupid female bitches?, No.,0.0,unedited,27.0
28,sexist,sexist,"The following text in quotes is sexist: ""I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week"" Is the following text in quotes sexist, answer yes or no: ""fat bitch....she need that black cucumber up her tight u know what....lmfaooo."" Answer:","I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",fat bitch....she need that black cucumber up her tight u know what....lmfaooo, Yes.,0.0,unedited,28.0
29,sexist,sexist,"The following text in quotes is sexist: ""I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings"" Is the following text in quotes sexist, answer yes or no: ""This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt.."" Answer:",I regret approaching that girl. Fuck our gynocentric society. I hate her and wish her to vanish like my feelings,This is what happens when you're a bitch and a cunt.  Looks like that guy called it correctly.  Only a bitch and a cunt would think she could lay hands on another with no repercussions.   Maybe after that seizure she won't be as much of a bitchy cunt., Yes.,0.0,unedited,29.0
30,sexist,sexist,"The following text in quotes is sexist: ""I dare you to choke her next time. Every one of them"" Is the following text in quotes sexist, answer yes or no: ""I like big thick bitches to serve me my cocktail. They are good only for such things."" Answer:",I dare you to choke her next time. Every one of them,I like big thick bitches to serve me my cocktail. They are good only for such things, Yes.,0.0,unedited,30.0
31,sexist,sexist,"The following text in quotes is sexist: ""Glad they beat his open ass"" Is the following text in quotes sexist, answer yes or no: ""I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop."" Answer:",Glad they beat his open ass,I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop, Yes.,0.0,unedited,31.0
32,sexist,sexist,"The following text in quotes is sexist: ""Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff."" Is the following text in quotes sexist, answer yes or no: ""Arrest that fat ass bitch!."" Answer:",Every girl on this planet curses her mother for their birth. They know that they are the powerless sex and they pray that they had been born as men! With dicks and stuff.,Arrest that fat ass bitch!, Yes.,0.0,unedited,32.0
33,sexist,sexist,"The following text in quotes is sexist: ""Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same"" Is the following text in quotes sexist, answer yes or no: ""the fat bitches are annoying as hell."" Answer:","Dude don’t talk about your sex, nowadays it is considered as the degraded one. I think the same",the fat bitches are annoying as hell, Yes.,0.0,unedited,33.0
34,sexist,sexist,"The following text in quotes is sexist: ""You should know women's sports are a joke"" Is the following text in quotes sexist, answer yes or no: ""If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.."" Answer:",You should know women's sports are a joke,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder., No.,0.0,edited,0.0
35,sexist,sexist,"The following text in quotes is sexist: ""Women deserve to be abused, I guess."" Is the following text in quotes sexist, answer yes or no: ""fucking stupid feminist bitches."" Answer:","Women deserve to be abused, I guess.",fucking stupid feminist bitches, Yes.,0.0,edited,1.0
36,sexist,sexist,"The following text in quotes is sexist: ""Women are made for making babies and cooking dinner and nothing else!!!"" Is the following text in quotes sexist, answer yes or no: ""Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.."" Answer:",Women are made for making babies and cooking dinner and nothing else!!!,Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself., No.,0.0,edited,2.0
37,sexist,sexist,"The following text in quotes is sexist: ""What about a global massacre of men? Pussiezzz only girls"" Is the following text in quotes sexist, answer yes or no: ""If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass."" Answer:",What about a global massacre of men? Pussiezzz only girls,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass, Yes.,0.0,edited,3.0
38,sexist,sexist,"The following text in quotes is sexist: ""The men are turtles...idiots even in uk… get lost"" Is the following text in quotes sexist, answer yes or no: ""Don't hit Women. Just fuck them and make them pregnant.."" Answer:",The men are turtles...idiots even in uk… get lost,Don't hit Women. Just fuck them and make them pregnant., Yes.,0.0,edited,4.0
39,sexist,sexist,"The following text in quotes is sexist: ""stone throwing must be legal when against women"" Is the following text in quotes sexist, answer yes or no: ""Honestly, go fuck yourself! bitch!."" Answer:",stone throwing must be legal when against women,"Honestly, go fuck yourself! bitch!", Yes.,0.0,edited,5.0
40,sexist,sexist,"The following text in quotes is sexist: ""She is heavily relying on him to turn the other cheek...tough talking demon infested woman."" Is the following text in quotes sexist, answer yes or no: ""Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!."" Answer:",She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,"Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!", No.,0.0,edited,6.0
41,sexist,sexist,"The following text in quotes is sexist: ""Men race is a subordinate of women"" Is the following text in quotes sexist, answer yes or no: ""fucking slut deserved it."" Answer:",Men race is a subordinate of women,fucking slut deserved it, Yes.,0.0,edited,7.0
42,sexist,sexist,"The following text in quotes is sexist: ""lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic ."" Is the following text in quotes sexist, answer yes or no: ""All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles."" Answer:",lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles, Yes.,0.0,edited,8.0
43,sexist,sexist,"The following text in quotes is sexist: ""Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased."" Is the following text in quotes sexist, answer yes or no: ""We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.."" Answer:","Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.","We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.", No.,0.0,edited,9.0
44,sexist,sexist,"The following text in quotes is sexist: ""I don't hate women i just think that they have nothing interesting to say. None reason for existance."" Is the following text in quotes sexist, answer yes or no: ""I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N."" Answer:",I don't hate women i just think that they have nothing interesting to say. None reason for existance.,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N, No.,0.0,edited,10.0
45,sexist,sexist,"The following text in quotes is sexist: ""Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!"" Is the following text in quotes sexist, answer yes or no: ""Do women born to be whores? Ot they develop it later."" Answer:",Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,Do women born to be whores? Ot they develop it later, Yes.,0.0,edited,11.0
46,sexist,sexist,"The following text in quotes is sexist: ""Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire"" Is the following text in quotes sexist, answer yes or no: ""The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!."" Answer:",Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire,"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!", Yes.,0.0,edited,12.0
47,sexist,sexist,"The following text in quotes is sexist: ""All girls like you should have a pimp to guide them to successful prostitution"" Is the following text in quotes sexist, answer yes or no: ""I wish HIV to your butthole male whore."" Answer:",All girls like you should have a pimp to guide them to successful prostitution,I wish HIV to your butthole male whore, No.,0.0,edited,13.0
48,sexist,sexist,"The following text in quotes is sexist: ""Women are our property. The sooner they realize that, the better."" Is the following text in quotes sexist, answer yes or no: ""All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.."" Answer:","Women are our property. The sooner they realize that, the better.","All that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.", Yes.,0.0,edited,14.0
49,sexist,sexist,"The following text in quotes is sexist: ""Women!!! Grow a pair and refuse to compete with men!!! This is asinine!"" Is the following text in quotes sexist, answer yes or no: ""That whore has better eyelashes than any other women."" Answer:",Women!!! Grow a pair and refuse to compete with men!!! This is asinine!,That whore has better eyelashes than any other women, No.,0.0,edited,15.0
50,sexist,sexist,"The following text in quotes is sexist: ""What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices)"" Is the following text in quotes sexist, answer yes or no: ""Too bad women don’t know how to kill themselves."" Answer:",What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices),Too bad women don’t know how to kill themselves, Yes.,0.0,edited,16.0
51,sexist,sexist,"The following text in quotes is sexist: ""The thing is women are not equal to us men and their place is the home and kitchen"" Is the following text in quotes sexist, answer yes or no: ""The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?."" Answer:",The thing is women are not equal to us men and their place is the home and kitchen,"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?", The text,0.0,edited,17.0
52,sexist,sexist,"The following text in quotes is sexist: ""Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex."" Is the following text in quotes sexist, answer yes or no: ""She then suggests that the men who commented on her video should be killed.."" Answer:","Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex.",She then suggests that the men who commented on her video should be killed., No.,0.0,edited,18.0
53,sexist,sexist,"The following text in quotes is sexist: ""smack the fat ass out of her"" Is the following text in quotes sexist, answer yes or no: ""this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.."" Answer:",smack the fat ass out of her,this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything., Yes.,0.0,edited,19.0
54,sexist,sexist,"The following text in quotes is sexist: ""Now they know better than this shit lol they dudes. The stronger sex. The man supremacy"" Is the following text in quotes sexist, answer yes or no: ""The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally."" Answer:",Now they know better than this shit lol they dudes. The stronger sex. The man supremacy,The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally, Yes.,0.0,edited,20.0
55,sexist,sexist,"The following text in quotes is sexist: ""Islam! Lets beat their feminist ass."" Is the following text in quotes sexist, answer yes or no: ""If only there was a way to get children without having to get women pregnant we had them all ready killed."" Answer:",Islam! Lets beat their feminist ass.,If only there was a way to get children without having to get women pregnant we had them all ready killed, Yes.,0.0,edited,21.0
56,sexist,sexist,"The following text in quotes is sexist: ""Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck."" Is the following text in quotes sexist, answer yes or no: ""Come and kill my wife."" Answer:","Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck.",Come and kill my wife, No.,0.0,edited,22.0
57,sexist,sexist,"The following text in quotes is sexist: ""Feminism is a very terrible disease "" Is the following text in quotes sexist, answer yes or no: ""Really, I hope she get raped in the future. Raping women should be legal I think."" Answer:",Feminism is a very terrible disease ,"Really, I hope she get raped in the future. Raping women should be legal I think", Yes.,0.0,edited,23.0
58,sexist,sexist,"The following text in quotes is sexist: ""But women aren't people, so it's fine!"" Is the following text in quotes sexist, answer yes or no: ""Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!."" Answer:","But women aren't people, so it's fine!","Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!", Yes.,0.0,edited,24.0
59,sexist,sexist,"The following text in quotes is sexist: ""Waitresses are cunts"" Is the following text in quotes sexist, answer yes or no: ""That girl still need a good ass whooping, stupid ass bitch!!."" Answer:",Waitresses are cunts,"That girl still need a good ass whooping, stupid ass bitch!!", Yes.,0.0,edited,25.0
60,sexist,sexist,"The following text in quotes is sexist: ""We have to take our power back as the superior gender. "" Is the following text in quotes sexist, answer yes or no: ""it takes a fat black bitch to say something super stupid."" Answer:",We have to take our power back as the superior gender. ,it takes a fat black bitch to say something super stupid, Yes.,0.0,edited,26.0
61,sexist,sexist,"The following text in quotes is sexist: ""I'd get my money back if I were you. Your sex change was a complete failure."" Is the following text in quotes sexist, answer yes or no: ""Is this world filled by those stupid female bitches?."" Answer:",I'd get my money back if I were you. Your sex change was a complete failure.,Is this world filled by those stupid female bitches?, No.,0.0,edited,27.0
62,sexist,sexist,"The following text in quotes is sexist: ""I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week"" Is the following text in quotes sexist, answer yes or no: ""fat bitch....she need that black cucumber up her tight u know what....lmfaooo."" Answer:","I wouldn’t like this girl as a police officer. I want police to keep me safe, she and every other woman cannot keep us safe they are week",fat bitch....she need that black cucumber up her tight u know what....lmfaooo, Yes.,0.0,edited,28.0
